653,0.7656967840735069,772,785,500,610,628,883,1,1,2,17,15,4
773,0.6468305304010349,591,599,500,474,488,838,1,1,2,6,8,3
821,0.6090133982947625,729,684,500,596,556,871,1,1,2,11,8,4
971,0.5149330587023687,671,652,500,532,519,886,1,1,2,6,4,4
1009,0.49554013875123887,628,613,500,501,487,852,1,1,2,5,5,3
653,0.7656967840735069,772,785,500,637,654,886,1.5925,1.635,2.215,17,15,4
773,0.6468305304010349,591,599,500,461,464,835,1.1525,1.16,2.0875,6,8,3
821,0.6090133982947625,729,684,500,571,537,864,1.4275,1.3425,2.16,11,8,4
971,0.5149330587023687,671,652,500,539,527,888,1.3475,1.3175,2.22,6,4,4
1009,0.49554013875123887,628,613,500,504,490,854,1.26,1.225,2.135,5,5,3
700,0.7132667617689016,1247,914,500,7,7,10,1.4,1.4,2.0,3,3,2
800,0.6180469715698393,724,753,500,6,6,16,1.2,1.2,3.2,2,2,5
800,0.6180469715698393,724,753,500,9,9,10,1.8,1.8,2.0,2,2,2
800,0.6180469715698393,724,753,500,6,6,11,1.2,1.2,2.2,2,2,3
800,0.6180469715698393,724,753,500,6,6,14,1.2,1.2,2.8,2,2,4
